class,precision,recall,f1,support
Felony,0.5339499036608863,0.6224058934507232,0.5747946569318841,11131
Misdemeanor,0.695546019532406,0.5668033281080429,0.6246096604876752,16586
Violation,0.1806853582554517,0.7651715039577837,0.2923387096774194,379
