Actual,Felony,Misdemeanor,Violation
Felony,0.6224058934507232,0.3636690324319468,0.01392507411732998
Misdemeanor,0.3632581695405764,0.5668033281080429,0.06993850235138069
Violation,0.05804749340369393,0.17678100263852242,0.7651715039577837
