feature,raw_feature,importance,share_pct
Jurisdiction,JURISDICTION_CODE,0.4605137093348484,46.05137093348484
Latitude,LATITUDE,0.1206595529185829,12.06595529185829
Precinct,ARREST_PRECINCT,0.11475578112485338,11.475578112485337
Longitude,LONGITUDE,0.1102466487073852,11.024664870738519
Month,MONTH,0.05443836929449284,5.443836929449284
Day of week,DAY_OF_WEEK_NUM,0.05305945608444155,5.305945608444155
Borough,ARREST_BORO,0.04934946551485239,4.934946551485239
Age group,AGE_GROUP,0.036977017020543276,3.6977017020543275
