,precision,recall,f1-score,support
Felony,0.5339499036608863,0.6224058934507232,0.5747946569318841,11131
Misdemeanor,0.695546019532406,0.5668033281080429,0.6246096604876752,16586
Violation,0.1806853582554517,0.7651715039577837,0.2923387096774194,379
accuracy,0.5915076879271071,0.5915076879271071,0.5915076879271071,0
macro avg,0.4700604271495814,0.6514602418388499,0.497247675698993,28096
weighted avg,0.6245800971096466,0.5915076879271071,0.6003919250471642,28096
