train_size,train_mean,train_std,val_mean,val_std
7492,0.6155681499691711,0.008411584575777217,0.4655929006917517,0.005672811566214607
24349,0.6151285621760388,0.0014740072660566156,0.4789298886278132,0.0047593828608337545
41206,0.6174505589718237,0.0011448921025994257,0.485195783161302,0.0036638476609212795
58063,0.6137860719316027,0.0021762289634784638,0.48879616573760204,0.001843183312352252
74920,0.6150291309255685,0.0016170464686304947,0.49412787283992915,0.0033914272207070002
