age_group,Felony,Misdemeanor,Violation
<18,63.21160042964554,36.77049767275331,0.017901897601145723
18-24,41.71210732036867,57.55923370168412,0.7286589779472085
25-44,38.76123752247504,59.832599665199325,1.4061628123256247
45-64,36.495796934234384,61.58562716334267,1.9185759024229438
65+,35.95858173831189,63.1628490743646,0.8785691873235018
