field,non_null,missing_count,missing_pct,unique_values
ARREST_BORO,141870,0,0.0,5
ARREST_PRECINCT,141870,0,0.0,78
AGE_GROUP,141870,0,0.0,5
LAW_CAT_CD,141006,864,0.609,6
LATITUDE,141870,0,0.0,28237
LONGITUDE,141870,0,0.0,28275
